Metar_id,Date_time,Day,Hour,Condition,Temperature,Wind,Gusts,Relative_hum,Pressure
1,2023-10-31 23:30:00,2023-10-31,23:30,Fair,8,3,0,93,1017
2,2023-10-31 23:00:00,2023-10-31,23:00,Fair,8,1,0,87,1017
3,2023-10-31 22:30:00,2023-10-31,22:30,Fair,8,0,0,93,1017
4,2023-10-31 22:00:00,2023-10-31,22:00,Clear,8,0,0,93,1017
5,2023-10-31 21:30:00,2023-10-31,21:30,Clear,8,0,0,93,1017
6,2023-10-31 21:00:00,2023-10-31,21:00,Clear,8,0,0,93,1017
7,2023-10-31 20:30:00,2023-10-31,20:30,Clear,9,1,0,87,1016
8,2023-10-31 20:00:00,2023-10-31,20:00,Clear,9,0,0,87,1016
9,2023-10-31 19:30:00,2023-10-31,19:30,Clear,12,3,0,76,1016
10,2023-10-31 19:00:00,2023-10-31,19:00,Clear,11,0,0,82,1016
11,2023-10-31 18:30:00,2023-10-31,18:30,Clear,11,0,0,82,1016
12,2023-10-31 18:00:00,2023-10-31,18:00,Clear,12,2,0,76,1016
13,2023-10-31 17:30:00,2023-10-31,17:30,Clear,13,2,0,72,1017
14,2023-10-31 17:00:00,2023-10-31,17:00,Clear,13,3,0,72,1017
15,2023-10-31 16:30:00,2023-10-31,16:30,Clear,13,2,0,72,1017
16,2023-10-31 16:00:00,2023-10-31,16:00,Clear,13,0,0,67,1017
17,2023-10-31 15:30:00,2023-10-31,15:30,Clear,13,1,0,72,1017
18,2023-10-31 15:00:00,2023-10-31,15:00,Clear,13,0,0,72,1017
19,2023-10-31 14:30:00,2023-10-31,14:30,Clear,12,0,0,76,1017
20,2023-10-31 14:00:00,2023-10-31,14:00,Fair,12,2,0,76,1018
21,2023-10-31 13:30:00,2023-10-31,13:30,Fair,11,2,0,82,1018
22,2023-10-31 13:00:00,2023-10-31,13:00,Partly Cloudy,11,3,0,76,1018
23,2023-10-31 12:30:00,2023-10-31,12:30,Mostly Cloudy,11,2,0,82,1019
24,2023-10-31 12:00:00,2023-10-31,12:00,Cloudy,11,1,0,82,1019
25,2023-10-31 11:30:00,2023-10-31,11:30,Cloudy,10,2,0,93,1019
26,2023-10-31 11:00:00,2023-10-31,11:00,Cloudy,10,0,0,93,1019
27,2023-10-31 10:30:00,2023-10-31,10:30,Cloudy,9,1,0,93,1019
28,2023-10-31 10:00:00,2023-10-31,10:00,Cloudy,9,1,0,93,1019
29,2023-10-31 09:30:00,2023-10-31,09:30,Cloudy,8,2,0,93,1019
30,2023-10-31 09:00:00,2023-10-31,09:00,Cloudy,8,1,0,93,1019
31,2023-10-31 08:30:00,2023-10-31,08:30,Mostly Cloudy,7,2,0,100,1018
32,2023-10-31 08:00:00,2023-10-31,08:00,Mostly Cloudy,7,1,0,93,1018
33,2023-10-31 07:30:00,2023-10-31,07:30,Fair,6,1,0,100,1017
34,2023-10-31 07:00:00,2023-10-31,07:00,Fair,6,0,0,100,1017
35,2023-10-31 06:30:00,2023-10-31,06:30,Fair,6,2,0,100,1017
36,2023-10-31 06:00:00,2023-10-31,06:00,Clear,7,1,0,93,1017
37,2023-10-31 05:30:00,2023-10-31,05:30,Clear,7,2,0,93,1017
38,2023-10-31 05:00:00,2023-10-31,05:00,Clear,7,2,0,93,1017
39,2023-10-31 04:30:00,2023-10-31,04:30,Clear,7,4,0,93,1016
40,2023-10-31 04:00:00,2023-10-31,04:00,Clear,8,4,0,87,1016
